name	percent_inliers	min_val	lower_bound	median	upper_bound	max_val
LBXRDW	0.9896386822529224	11.3	11.3	13.5	18.6	29.2
LBXPLTSI	0.9924282678002125	8.0	61.0	251.0	485.0	818.0
LBXMPSI	0.9922954303931987	5.4	6.0	8.0	10.8	13.0
LBXIRN	0.9910503208375548	11.0	11.0	82.0	200.0	481.0
LBDIRNSI	0.9893617021276596	2.0	2.0	14.7	34.6	86.1
LBXUIB	0.9930496694354976	12.0	64.0	236.0	466.0	602.0
LBDUIBSI	0.9923715884048143	0.18	13.25	42.27	83.82	107.82
LBDTIB	0.9911759714916002	139.0	203.0	324.0	509.0	621.0
LBDTIBSI	0.9921941286271848	24.89	36.0	58.03	91.16	111.22
LBDPCT	0.989818428644154	2.0	2.0	26.0	61.0	92.0
LBXHSCRP	0.9917241379310345	0.11	0.11	1.355	38.87	182.82
LBXCOT	0.991128010139417	0.011	0.011	0.032	532.0	1620.0
LBDHDD	0.9919857524487978	10.0	18.0	51.0	98.0	189.0
LBDHDDSI	0.9927278124072425	0.26	0.47	1.32	2.56	4.89
LBXTC	0.9922825764321758	76.0	76.0	176.0	300.0	446.0
LBDTCSI	0.9922825764321758	1.97	1.97	4.55	7.76	11.53
LBXFER	0.991045682197602	1.04	3.25	80.7	893.0	5190.0
LBDFERSI	0.9925633631810593	1.04	3.25	80.7	955.0	5190.0
PHAFSTHR	0.9954977488744372	0.0	0.0	6.0	27.0	38.0
PHAFSTMN	0.9832416208104052	0.0	0.0	29.0	58.0	59.0
LBXBPB	0.9918651946542708	0.05	0.12	0.76	7.07	42.48
LBDBPBSI	0.992300987797792	0.0	0.0	0.04	0.32	2.05
LBXBCD	0.9929455610275523	0.07	0.07	0.22	2.79	13.03
LBDBCDSI	0.9934779715160389	0.62	0.62	1.96	25.36	115.93
LBXTHG	0.9948089977372554	0.2	0.2	0.51	13.71	63.64
LBDTHGSI	0.9950752029814988	1.0	1.0	2.54	69.66	317.56
LBXBSE	0.9898842007187542	84.67	124.3	184.27	275.49	453.62
LBDBSESI	0.9917476374284574	1.08	1.36	2.34	3.44	5.76
LBXBMN	0.991082124317849	1.57	3.67	9.71	25.03	52.0
LBDBMNSI	0.9912152269399708	28.58	66.98	176.74	458.69	946.5
LBXIHG	0.9982620320855615	0.15	0.21	0.31	3.4	33.95
LBDIHGSI	0.9973262032085561	0.75	1.05	1.55	11.38	169.41
LBXBGM	0.9957219251336898	0.18	0.18	0.33	12.45	55.9
LBDBGMSI	0.9959893048128342	0.9	0.9	1.65	63.52	278.94
LBXVIC	0.9927299703264095	0.0212	0.065	0.947	2.97	14.6
LBDVICSI	0.9930267062314541	1.2	3.75	53.8	170.0	829.0
LBXGH	0.9935483870967742	3.8	3.8	5.5	11.0	16.2
LBXSATSI	0.9901728227719417	2.0	2.0	17.0	87.0	420.0
LBXSAL	0.9881456392887383	2.1	3.2	4.1	5.0	5.4
LBDSALSI	0.9881456392887383	21.0	32.0	41.0	50.0	54.0
LBXSAPSI	0.9959342707098086	16.0	30.0	79.0	433.0	638.0
LBXSASSI	0.9882692961577695	6.0	6.0	19.0	70.0	272.0
LBXSC3SI	0.9913573970513472	16.0	16.0	26.0	31.0	38.0
LBXSBU	0.988645992204711	2.0	2.0	14.0	34.0	79.0
LBDSBUSI	0.9894933062192849	0.71	0.71	5.0	12.5	28.2
LBXSCLSI	0.9927168021680217	84.0	93.0	101.0	109.0	117.0
LBXSCK	0.9916935073741312	16.0	23.0	115.0	1334.0	16959.0
LBXSCR	0.9918685414196171	0.25	0.25	0.82	2.02	12.74
LBDSCRSI	0.9918685414196171	22.1	22.1	72.49	178.57	1126.22
LBXSGB	0.991526859854262	1.8	1.8	3.1	4.3	6.0
LBDSGBSI	0.991526859854262	18.0	18.0	31.0	43.0	60.0
LBXSGL	0.9927130994746654	47.0	62.0	92.0	331.0	626.0
LBDSGLSI	0.9937298762921539	2.61	3.39	5.11	18.93	34.75
LBXSGTSI	0.9930532023043036	2.0	2.0	19.0	264.0	1192.0
LBXSIR	0.9898339545916638	10.0	10.0	83.0	196.0	476.0
LBDSIRSI	0.99203659776347	1.8	2.7	14.9	38.1	85.3
LBXSLDSI	0.992551532998441	51.0	59.0	155.0	273.0	779.0
LBXSOSSI	0.9893238434163701	246.0	260.0	281.0	296.0	314.0
LBXSPH	0.9932214878834096	1.9	2.2	3.6	5.5	9.6
LBDSPHSI	0.9932214878834096	0.614	0.71	1.162	1.776	3.1
LBXSKSI	0.9905068655704357	2.8	3.1	4.1	5.1	6.6
LBXSNASI	0.9906842818428184	121.0	133.0	140.0	147.0	151.0
LBXSTB	0.9888192444519736	0.1	0.1	0.4	1.4	3.7
LBDSTBSI	0.9910199932226363	1.71	1.71	6.84	25.65	63.27
LBXSCA	0.9930520250804948	6.4	8.4	9.3	10.6	11.7
LBDSCASI	0.9930520250804948	1.6	2.1	2.325	2.65	2.925
LBXSCH	0.9916991360325258	77.0	77.0	180.0	303.0	438.0
LBDSCHSI	0.9903438929357954	1.991	1.991	4.655	7.758	11.327
LBXSTP	0.9920352482630063	5.3	5.7	7.2	8.2	10.0
LBDSTPSI	0.9920352482630063	53.0	57.0	72.0	82.0	100.0
LBXSTR	0.992204711065921	25.0	33.0	111.0	608.0	2923.0
LBDSTRSI	0.9937298762921539	0.282	0.282	1.253	6.853	33.001
LBXSUA	0.990849008642603	0.8	1.7	5.3	9.5	15.1
LBDSUASI	0.991526859854262	47.6	101.1	315.2	571.0	898.1
DBD895	0.9911514463981849	0.0	0.0	2.0	19.0	21.0
DBD900	0.9932462193510497	0.0	0.0	1.0	14.0	21.0
DBD905	0.9977290791415919	0.0	1.0	3.0	42.0	6666.0
DBD910	0.9961433756805808	0.0	1.0	3.0	35.0	6666.0
SLD012	0.9932929821691477	2.0	2.0	8.0	12.0	14.0
SLD013	0.9927916120576671	2.0	4.0	8.0	14.0	14.0
PAD680	0.9857167441060058	0.0	0.0	300.0	840.0	1320.0
WHD010	0.9916345992973064	49.0	56.0	66.0	76.0	82.0
WHD020	0.9918981481481481	72.0	72.0	170.0	340.0	484.0
WHD050	0.9919035029742234	67.0	67.0	170.0	348.0	520.0
WHD120	0.9909739714525608	70.0	70.0	145.0	290.0	530.0
WHD140	0.9901264507188636	90.0	90.0	188.0	380.0	630.0
WHQ150	0.9841103544613236	10.0	10.0	40.0	79.0	80.0
WTDRD1	0.9923023897058824	0.0	0.0	20459.752275	283076.5095	691139.5469
WTDR2D	0.9928019892684203	0.0	0.0	21766.04313	368157.612	901995.1189
DR2DBIH	0.9927681181720265	-33.0	-33.0	17.0	86.0	137.0
DR2TNUMF	0.9918662449164031	1.0	1.0	13.0	30.0	39.0
DR2TKCAL	0.9915410642879114	0.0	235.0	1670.0	5137.0	11241.0
DR2TPROT	0.990772070132267	0.0	4.92	62.85	227.3	345.53
DR2TCARB	0.990772070132267	0.0	18.24	201.04000000000002	639.59	1455.45
DR2TSUGR	0.9929252537680714	0.0	2.35	81.31	384.58	903.2
DR2TFIBE	0.9920024607812981	0.0	0.0	12.8	52.6	104.0
DR2TTFAT	0.9915410642879114	0.0	2.94	64.22	234.18	487.73
DR2TSFAT	0.9910796677945247	0.0	0.651	20.874	84.341	160.673
DR2TMFAT	0.9916948631190403	0.0	0.625	21.3665	86.637	174.377
DR2TPFAT	0.9923100584435558	0.0	0.7	14.159	67.912	129.181
DR2TCHOL	0.9923100584435558	0.0	0.0	195.0	1116.0	2483.0
DR2TATOC	0.9921562596124269	0.0	0.28	6.25	34.05	77.36
DR2TATOA	0.9987696093509689	0.0	0.01	4.05	28.01	70.38
DR2TRET	0.9887726853275915	0.0	0.0	329.0	1647.0	14573.0
DR2TVARA	0.9916948631190403	0.0	0.0	467.0	2587.0	20875.0
DR2TACAR	0.993386650261458	0.0	0.0	34.0	4967.0	93941.0
DR2TBCAR	0.9941556444171025	0.0	0.0	597.5	20593.0	201990.0
DR2TCRYP	0.9915410642879114	0.0	0.0	23.0	905.0	7814.0
DR2TLYCO	0.993386650261458	0.0	0.0	1031.0	41709.0	147094.0
DR2TLZ	0.9916948631190403	0.0	0.0	640.5	14692.0	80214.0
DR2TVB1	0.9900030759766226	0.0	0.126	1.2995	5.098	13.241
DR2TVB2	0.990772070132267	0.0	0.115	1.586	6.385	17.475
DR2TNIAC	0.9901568748077515	0.0	1.594	19.5125	84.35	219.356
DR2TVB6	0.9898492771454936	0.0	0.101	1.561	8.753	24.988
DR2TFOLA	0.9912334666256536	0.0	13.0	295.0	1384.0	3016.0
DR2TFA	0.9923100584435558	0.0	0.0	120.0	996.0	2907.0
DR2TFF	0.9935404490925869	0.0	0.0	145.0	750.0	1829.0
DR2TFDFE	0.9898492771454936	0.0	15.0	382.0	2009.0	5049.0
DR2TCHL	0.9901568748077515	0.0	16.4	240.5	949.8	1664.2
DR2TVB12	0.9929252537680714	0.0	0.0	3.24	22.95	156.27
DR2TB12A	0.9983082128575823	0.0	0.01	2.17	21.0	51.0
DR2TVC	0.9906182713011381	0.0	0.0	51.0	366.3	1035.3
DR2TVD	0.9923100584435558	0.0	0.0	3.3	28.2	92.1
DR2TVK	0.9915410642879114	0.0	0.4	60.2	899.1	2930.5
DR2TCALC	0.9916948631190403	9.0	53.0	772.0	2902.0	7510.0
DR2TPHOS	0.9915410642879114	0.0	104.0	1119.5	3627.0	7168.0
DR2TMAGN	0.9923100584435558	3.0	26.0	229.0	815.0	1445.0
DR2TIRON	0.9915410642879114	0.0	0.89	11.4	51.1	80.81
DR2TZINC	0.9910796677945247	0.0	0.67	8.27	36.73	97.48
DR2TCOPP	0.9900030759766226	0.03	0.12	0.855	3.546	28.065
DR2TSODI	0.9932328514303291	7.0	98.0	2626.0	9237.0	16552.0
DR2TPOTA	0.9901553607137363	0.0	197.0	2062.0	6364.0	12851.0
DR2TSELE	0.9920024607812981	0.0	5.1	86.7	339.8	589.5
DR2TCAFF	0.9956936327283913	0.0	0.0	26.0	865.0	5040.0
DR2TTHEO	0.9972316210396801	0.0	1.0	42.0	469.0	990.0
DR2TALCO	0.9992310058443555	0.0	0.2	28.0	221.8	443.5
DR2TMOIS	0.9909258689633959	67.59	297.4	1941.635	6984.75	12661.8
DR2TS040	0.9909258689633959	0.0	0.0	0.3085	2.094	5.732
DR2TS060	0.9915410642879114	0.0	0.0	0.208	1.371	3.8
DR2TS080	0.9884650876653337	0.0	0.0	0.18	1.541	14.244
DR2TS100	0.9889264841587204	0.0	0.0	0.378	2.365	7.896
DR2TS120	0.9918486619501692	0.0	0.0	0.523	6.682	21.606
DR2TS140	0.9913872654567826	0.0	0.0	1.64	8.617	21.835
DR2TS160	0.9913872654567826	0.0	0.513	11.472	46.001	85.191
DR2TS180	0.9912334666256536	0.0	0.152	4.819	20.385	40.746
DR2TM161	0.9909258689633959	0.0	0.004	0.811	4.223	10.064
DR2TM181	0.9916948631190403	0.0	0.898	20.0825	85.609	165.881
DR2TM201	0.9896954783143648	0.0	0.001	0.212	1.514	4.629
DR2TM221	0.9949246385727468	0.0	0.0	0.008	0.425	6.104
DR2TP182	0.9923100584435558	0.0	0.558	12.5615	61.274	106.441
DR2TP183	0.9923100584435558	0.0	0.032	1.217	6.951	23.393
DR2TP184	0.9990772070132267	0.0	0.0	0.001	0.344	1.258
DR2TP204	0.9940018455859736	0.0	0.0	0.107	0.656	1.326
DR2TP205	0.9955398338972624	0.0	0.0	0.007	0.676	4.263
DR2TP225	0.9930790525992003	0.0	0.0	0.015	0.188	1.041
DR2TP226	0.9938480467548446	0.0	0.0	0.008	1.012	6.934
DR2_320Z	0.994276246422654	0.0	0.0	600.0	5072.25	11835.0
DR2_330Z	0.9969874981171863	0.0	1.25	720.0	5325.0	11835.0
DR2BWATZ	0.997138123211327	0.0	7.5	720.0	4563.0	8400.0
LUXSMED	0.9936134453781512	1.6	1.6	4.9	30.7	75.0
LUXSIQRM	0.991921911814204	0.0	0.0	13.5	56.8	1338.0
LUXCPIQR	0.9920875420875421	0.0	0.0	35.0	113.0	206.0
BPXPLS	0.9913972115099378	34.0	48.0	72.0	112.0	136.0
BPXML1	0.992274550586837	100.0	110.0	140.0	210.0	260.0
BPXSY1	0.9892097746747064	72.0	72.0	118.0	182.0	228.0
BPXDI1	0.9985718819422406	0.0	0.0	70.0	114.0	136.0
BPXSY2	0.9904007313728478	72.0	72.0	118.0	186.0	236.0
BPXDI2	0.9996952613134238	0.0	0.0	70.0	126.0	136.0
BPXSY3	0.9895992658305293	72.0	72.0	118.0	184.0	238.0
BPXDI3	0.9998470480269196	0.0	0.0	70.0	126.0	134.0
BMXWT	0.9919580419580419	3.2	3.2	67.75	150.9	242.6
BMXHT	0.9946357285429142	78.3	84.1	161.9	190.9	197.7
BMXBMI	0.9927545284197377	12.3	12.3	25.8	53.1	86.2
DS2DSCNT	0.9987931814753357	0.0	2.0	3.0	13.0	18.0
HOD050	1.0	1.0	1.0	5.0	13.0	13.0
INDFMIN2	1.0	1.0	1.0	7.0	15.0	15.0
INDHHIN2	1.0	1.0	1.0	8.0	15.0	15.0
LBDBGESI	0.9998663101604278	0.25	0.35	0.42500000000000004	1.15	5.04
LBXBGE	0.9998663101604278	0.05	0.07	0.08499999999999999	0.23	1.01
LBXNRBC	0.9997341486109265	0.0	0.3	0.3	1.1	2.0
